id_o,date,lont,lat,id_x
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
Minnie,2015-03-04 09:00:00,4.88,45.786,Minnie
